Country Name,City Name,Overall AQI,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category,Volatile_Organic_Compounds ,Sulfur_Dioxide,Emissions,Overall AQI Level
United States of America,Belvedere Park,100,3,Good,1,Good,29,GO,100,Unhealthy for Sensitive Groups,256.4125714,52.28673826,Good,Unhealthy for Sensitive Groups
Spain,Osuna,30,1,Good,,Good,3,GO,30,Good,81.32508097,10.01802293,Good,Good
Mexico,Huetamo,43,1,Good,18,Good,2,GO,43,Good,128.3876522,4.515033259,Good,Good
United States of America,Albert Lea,42,1,Good,42,Good,1,GO,42,Good,98.05810599,7.760692132,Good,Good
Germany,Oberndorf,59,1,Good,39,Good,1,GO,59,Moderate,142.5370099,-2.06616654,Good,Moderate
Madagascar,Sakaraha,29,0,Good,23,Good,0,GO,29,Good,70.366891,4.856597871,Good,Good
Italy,Magione,38,1,Good,38,Good,2,GO,23,Good,54.24729455,10.99178596,Good,Good
United States of America,Glens Falls,64,2,Good,17,Good,6,GO,64,Moderate,173.3240054,13.13441077,Good,Moderate
India,Bijawar,162,2,Good,108,Unhealthy for Sensitive Groups,0,GO,162,Unhealthy,412.0431988,-0.328389693,Unhealthy for Sensitive Groups,Unhealthy
United States of America,Royal Palm Beach,114,3,Good,14,Good,13,GO,114,Unhealthy for Sensitive Groups,304.5540134,25.05663573,Good,Unhealthy for Sensitive Groups
Russian Federation,Kamyshlov,32,1,Good,32,Good,0,,23,Good,45.78027528,4.196297447,Good,Good
Haiti,Jeremie,87,1,Good,32,Good,0,GO,87,Moderate,225.7717055,-1.331664759,Good,Moderate
Russian Federation,Sysert,36,1,Good,,Good,0,GO,26,Good,60.4108591,-0.774063164,Good,Good
Ecuador,Arenillas,34,1,Good,17,Good,1,GO,34,Good,73.28852835,-1.007076606,Good,Good
India,Madhogarh,172,4,Good,95,Moderate,5,,172,Unhealthy,434.2412855,5.227513866,Moderate,Unhealthy
Romania,Targu Lapus,67,1,Good,42,Good,0,GO,67,Moderate,171.7703057,1.033020994,Good,Moderate
Tajikistan,Hisor,144,1,Good,26,Good,1,GO,144,Unhealthy for Sensitive Groups,357.8722212,-1.521092321,Good,Unhealthy for Sensitive Groups
Japan,Akashi,40,1,Good,40,Good,2,GO,29,Good,65.44417649,5.43780104,Good,Good
Italy,Rubiera,74,1,Good,29,Good,6,GO,74,Moderate,181.6752338,16.41844114,Good,Moderate
Germany,Mettlach,53,1,Good,29,Good,3,,53,Moderate,145.7415236,6.064121532,Good,Moderate
India,Chikmagalur,25,0,Good,20,Good,0,GO,25,Good,64.44380889,-4.889700883,Good,Good
China,Maanshan,183,9,Good,,Good,42,GO,183,Unhealthy,464.5947008,66.92352625,Good,Unhealthy
Thailand,Pa Sang,22,0,Good,22,Good,0,GO,17,Good,44.69428293,2.18503566,Good,Good
France,Taverny,59,1,Good,21,Good,5,GO,59,Moderate,149.2732354,12.74541801,Good,Moderate
United Kingdom of Great Britain and Northern Ireland,Stirling,39,1,Good,,Good,7,GO,39,Good,103.5242866,23.31307088,Good,Good
Belgium,Wichelen,60,1,Good,33,Good,5,GO,60,Moderate,158.5481812,0.046761528,Good,Moderate
United States of America,New Britain,60,2,Good,19,Good,15,GO,60,Moderate,142.9164805,31.08656931,Good,Moderate
Italy,Prato,37,1,Good,37,Good,3,GO,18,Good,54.39501231,13.08302943,Good,Good
Colombia,Tame,20,1,Good,10,Good,0,GO,20,Good,62.46996038,2.488873715,Good,Good
Brazil,Boa Viagem,34,1,Good,12,Good,1,GO,34,Good,95.82097703,10.54435235,Good,Good
India,Savda,151,2,Good,30,Good,5,GO,151,Unhealthy,402.6338725,10.66713275,Good,Unhealthy
Iran (Islamic Republic of),Khalkhal,72,1,Good,41,Good,0,GO,72,Moderate,178.0431926,1.562156449,Good,Moderate
Nigeria,Awka,154,8,Good,30,Good,5,GO,154,Unhealthy,385.7480705,10.9855691,Good,Unhealthy
Netherlands,Best,30,1,Good,30,Good,2,GO,28,Good,63.47555532,4.012098446,Good,Good
United States of America,Oklahoma City,53,1,Good,26,Good,4,GO,53,Moderate,137.6261283,5.775393628,Good,Moderate
Russian Federation,Mikhaylovskoye,36,1,Good,36,Good,0,GO,34,Good,95.04287853,-0.170942279,Good,Good
India,Madhipura,144,4,Good,36,Good,8,GO,144,Unhealthy for Sensitive Groups,356.9173617,17.14015377,Good,Unhealthy for Sensitive Groups
Italy,Belpasso,55,1,Good,45,Good,0,GO,55,Moderate,148.1677173,3.769250008,Good,Moderate
France,Vertou,32,1,Good,26,Good,2,GO,32,Good,90.17210216,8.460381621,Good,Good
India,Sarkhej,159,1001.368367,Good,40,Good,0,GO,159,Unhealthy,399.4773061,7.877178783,Good,Unhealthy
Croatia,Velika Gorica,76,1,Good,67,Moderate,0,GO,76,Moderate,188.8182496,-3.166501209,Moderate,Moderate
Switzerland,Carouge,60,1,Good,42,Good,0,GO,60,Moderate,174.1160607,-6.934788322,Good,Moderate
Uzbekistan,Muborak,70,1,Good,45,Good,0,,70,Moderate,192.2846649,7.510885411,Good,Moderate
India,Bhagalpur,80,2,Good,79,Moderate,1,GO,80,Moderate,217.8625209,7.641269186,Moderate,Moderate
Ukraine,Obukhiv,73,1,Good,38,Good,2,,73,Moderate,189.3471047,6.163396731,Good,Moderate
United States of America,Vidor,31,0,Good,,Good,1,GO,31,Good,72.73599951,-7.949398987,Good,Good
India,Tadepalle,135,1,Good,40,Good,0,GO,135,Unhealthy for Sensitive Groups,345.4497146,5.091884603,Good,Unhealthy for Sensitive Groups
Sweden,Enkoping,30,1,Good,30,Good,0,GO,13,Good,33.46296566,1.595581391,Good,Good
,Si Racha,38,0,Good,20,Good,0,GO,38,Good,119.3335975,0.755533402,Good,Good
China,Langfang,137,4,Good,125,Unhealthy for Sensitive Groups,7,GO,137,Unhealthy for Sensitive Groups,334.0042379,14.8974247,Unhealthy for Sensitive Groups,Unhealthy for Sensitive Groups
India,Maur,500,1,Good,62,Moderate,1,GO,433,Hazardous,1089.674059,-0.863298196,Moderate,Hazardous
Ukraine,Khust,59,1,Good,47,Good,0,GO,59,Moderate,146.2866828,1.377717386,Good,Moderate
Poland,Wloszczowa,38,1,Good,30,Good,1,GO,38,Good,111.5223339,4.045499053,Good,Good
United States of America,Lancaster,41,1,Good,41,Good,3,,32,Good,77.94226517,7.845957552,Good,Good
India,Cumbum,106,0,Good,37,Good,0,,106,Unhealthy for Sensitive Groups,264.6815638,5.172586501,Good,Unhealthy for Sensitive Groups
Germany,Herdecke,60,1,Good,30,Good,6,GO,60,Moderate,158.4965005,9.539929381,Good,Moderate
Switzerland,Herisau,57,1,Good,24,Good,3,GO,57,Moderate,163.3211675,6.597730684,Good,Moderate
Philippines,Lianga,50,1,Good,20,Good,0,GO,50,Good,127.8089947,-3.917459412,Good,Good
Germany,Bad Oeynhausen,34,0,Good,,Good,1,GO,34,Good,83.10723377,3.295674451,Good,Good
Italy,Tortona,32,1,Good,32,Good,2,GO,26,Good,52.15056031,-1.360469013,Good,Good
India,Beypur,74,0,Good,24,Good,0,GO,74,Moderate,181.9940966,4.707970531,Good,Moderate
Belgium,Sint Gillis Waas,35,1001.368367,Good,32,Good,3,GO,35,Good,95.04819218,8.330343898,Good,Good
India,Badlapur,170,6,Good,19,Good,12,GO,170,Unhealthy,441.8689308,29.80117852,Good,Unhealthy
Spain,Alora,33,1,Good,32,Good,3,GO,33,Good,73.43184991,4.054730326,Good,Good
Croatia,Karlovac,31,1,Good,31,Good,1,GO,28,Good,95.86264101,12.10469409,Good,Good
United States of America,Hurricane,32,1,Good,32,Good,1,GO,28,Good,69.24414546,8.851774122,Good,Good
Iran (Islamic Republic of),Ramsar,59,1001.368367,Good,39,Good,0,GO,59,Moderate,154.9830548,1.09433955,Good,Moderate
India,Qadian,162,4,Good,41,Good,9,GO,162,Unhealthy,433.4072261,13.99060151,Good,Unhealthy
Russian Federation,Povorino,61,1,Good,38,Good,0,GO,61,Moderate,130.9817194,0.933335419,Good,Moderate
Romania,Onesti,37,1,Good,,Good,0,GO,16,Good,54.18316606,-2.264440629,Good,Good
Germany,Wehr,94,1,Good,25,Good,3,GO,94,Moderate,234.7786981,9.483424179,Good,Moderate
Panama,Las Cumbres,97,3,Good,16,Good,12,,97,Moderate,246.8276969,25.44091599,Good,Moderate
Spain,Tias,25,0,Good,25,Good,0,,9,Good,16.19479544,6.184658648,Good,Good
Jordan,Judayta,91,1,Good,47,Good,3,GO,91,Moderate,232.4892887,6.013302717,Good,Moderate
Lithuania,Vilnius,35,1,Good,35,Good,0,GO,24,Good,60.30235536,-2.872655507,Good,Good
Indonesia,Karanganom,57,1,Good,32,Good,0,GO,57,Moderate,152.5014303,5.274066022,Good,Moderate
United States of America,Glassboro,52,2,Good,22,Good,13,GO,52,Moderate,142.1329818,26.76592607,Good,Moderate
Democratic Republic of the Congo,Bondo,74,2,Good,,Good,0,GO,74,Moderate,200.0662463,3.579577376,Good,Moderate
Philippines,Santiago,62,1,Good,13,Good,6,GO,62,Moderate,163.2889154,17.64940604,Good,Moderate
Venezuela (Bolivarian Republic of),Los Rastrojos,52,1001.368367,Good,13,Good,3,GO,52,Moderate,140.6612095,11.58708755,Good,Moderate
Poland,Dobre Miasto,37,0,Good,33,Good,0,GO,37,Good,97.90924749,5.616587894,Good,Good
United Kingdom of Great Britain and Northern Ireland,Ballymena,26,1,Good,26,Good,4,GO,26,Good,58.75799903,4.073352246,Good,Good
India,Talwandi Bhai,198,2,Good,160,Unhealthy,1,GO,198,Unhealthy,502.906047,-4.334956888,Unhealthy,Unhealthy
Italy,Alfonsine,42,1,Good,38,Good,3,,42,Good,94.26370978,5.063571994,Good,Good
Japan,Niimi,35,1,Good,35,Good,2,,26,Good,75.16946516,1.403240209,Good,Good
United States of America,East Point,66,2,Good,28,Good,11,GO,66,Moderate,190.5749547,23.30143446,Good,Moderate
United States of America,Central Islip,60,2,Good,14,Good,23,GO,60,Moderate,163.6805465,43.02974259,Good,Moderate
Germany,Buchloe,69,1,Good,35,Good,2,GO,69,Moderate,184.1739444,10.92480808,Good,Moderate
United States of America,Rowlett,54,1,Good,29,Good,5,GO,54,Moderate,150.6537627,5.434383743,Good,Moderate
United Republic of Tanzania,Mabama,21,0,Good,21,Good,0,GO,16,Good,35.57738806,-5.234634088,Good,Good
Brazil,Campos Gerais,51,1,Good,5,Good,4,GO,51,Moderate,129.2875723,14.71455351,Good,Moderate
Netherlands,Gouda,38,1001.368367,Good,38,Good,0,GO,30,Good,80.07673193,-4.065471318,Good,Good
Mexico,Yaqui,70,1,Good,26,Good,0,GO,70,Moderate,182.1453292,5.871671078,Good,Moderate
Italy,Carugate,89,1,Good,64,Moderate,0,,89,Moderate,209.1442952,7.479453906,Moderate,Moderate
Japan,Ina,50,1,Good,39,Good,0,,50,Good,128.6637227,4.193043722,Good,Good
United Republic of Tanzania,Bagamoyo,41,1,Good,17,Good,0,,41,Good,105.6407552,-2.691297518,Good,Good
United States of America,Belmont,54,1,Good,24,Good,9,GO,54,Moderate,145.0254625,23.24055481,Good,Moderate
India,Amravati,157,1,Good,32,Good,0,GO,157,Unhealthy,400.6606787,-1.326922195,Good,Unhealthy
Japan,Omigawa,42,1,Good,42,Good,1,GO,35,Good,88.91553811,3.705027424,Good,Good
Pakistan,Pasrur,164,3,Good,147,Unhealthy for Sensitive Groups,1,GO,164,Unhealthy,421.4958133,15.59726311,Unhealthy for Sensitive Groups,Unhealthy
United States of America,Lake Mary,59,1,Good,,Good,14,GO,59,Moderate,151.9564873,27.37052376,Good,Moderate
United Kingdom of Great Britain and Northern Ireland,Bury,40,1,Good,35,Good,1,GO,40,Good,95.37348988,-1.576647024,Good,Good
Italy,Casalmaggiore,79,2,Good,44,Good,4,GO,79,Moderate,196.4687991,2.511215058,Good,Moderate
Republic of North Macedonia,Kicevo,63,1,Good,41,Good,0,GO,63,Moderate,159.1475592,0.594373855,Good,Moderate
China,Nianzishan,79,4,Good,41,Good,1,,79,Moderate,212.8865429,10.80515314,Good,Moderate
,Rianxo,25,1,Good,22,Good,3,GO,25,Good,55.68798827,8.223132067,Good,Good
Italy,Manduria,49,1,Good,49,Good,3,GO,22,Good,63.92634116,7.385148438,Good,Good
United States of America,Tahlequah,75,1,Good,26,Good,3,GO,75,Moderate,199.8760676,4.14412635,Good,Moderate
Philippines,Pinamungahan,58,1,Good,23,Good,0,GO,58,Moderate,160.325462,-3.270995139,Good,Moderate
France,La Chapelle Sur Erdre,24,1,Good,22,Good,4,GO,24,Good,54.85240507,10.05251639,Good,Good
Papua New Guinea,Arawa,50,0,Good,12,Good,0,GO,50,Good,140.5817009,1.655725036,Good,Good
Portugal,Ourem,30,1,Good,30,Good,2,GO,21,Good,45.45185659,6.729492159,Good,Good
Italy,Cervia,75,1,Good,69,Moderate,0,GO,75,Moderate,196.171998,-3.721036144,Moderate,Moderate
Kenya,Kabarnet,56,2,Good,26,Good,0,,56,Moderate,139.0764404,7.044430684,Good,Moderate
Poland,Kielce,79,1,Good,36,Good,1,GO,79,Moderate,205.1652165,9.165836456,Good,Moderate
France,Saran,29,1,Good,29,Good,2,GO,26,Good,58.06363168,-0.4996545,Good,Good
Philippines,Tayug,89,1,Good,29,Good,1,GO,89,Moderate,233.4253031,1.875588136,Good,Moderate
United States of America,Irvington,107,3,Good,12,Good,28,GO,107,Unhealthy for Sensitive Groups,266.8605251,48.35743904,Good,Unhealthy for Sensitive Groups
India,Mallur,57,1,Good,29,Good,1,GO,57,Moderate,153.8319518,5.362332054,Good,Moderate
United States of America,Marlborough,46,1,Good,41,Good,1,GO,46,Good,125.3545875,5.393315461,Good,Good
New Zealand,Invercargill,14,0,Good,12,Good,1,GO,14,Good,54.35570993,2.003506377,Good,Good
United States of America,Huntington,63,1,Good,23,Good,16,GO,63,Moderate,147.0924219,30.26839174,Good,Moderate
Poland,Lezajsk,100,1,Good,32,Good,2,GO,100,Unhealthy for Sensitive Groups,269.6644239,1.743079843,Good,Unhealthy for Sensitive Groups
Egypt,Rosetta,60,2,Good,60,Moderate,3,GO,55,Moderate,154.2929718,16.95217816,Moderate,Moderate
France,Roanne,39,1,Good,24,Good,2,GO,39,Good,101.1874303,5.217320304,Good,Good
Pakistan,Bhit Shah,157,1,Good,24,Good,2,GO,157,Unhealthy,408.8987856,10.40280677,Good,Unhealthy
Italy,San Cataldo,57,1,Good,46,Good,0,GO,57,Moderate,135.3271731,11.04331514,Good,Moderate
,Marapanim,25,1001.368367,Good,15,Good,0,GO,25,Good,75.39222499,6.056641763,Good,Good
Brazil,Astolfo Dutra,65,2,Good,3,Good,5,GO,65,Moderate,177.7945748,-2.17159124,Good,Moderate
India,Sattur,62,1,Good,27,Good,1,GO,62,Moderate,134.6971248,1.629630891,Good,Moderate
Mexico,Leon,50,1,Good,14,Good,3,,50,Good,123.8721131,6.599487932,Good,Good
United States of America,Wrentham,46,1,Good,,Good,10,GO,46,Good,127.591392,23.59258462,Good,Good
India,Sambalpur,157,2,Good,72,Moderate,1,GO,157,Unhealthy,412.5913101,2.315888054,Moderate,Unhealthy
India,Panna,203,1,Good,45,Good,0,GO,203,Very Unhealthy,509.5311402,2.397885103,Good,Very Unhealthy
Spain,Mairena Del Alcor,43,1,Good,43,Good,0,GO,14,Good,41.94051944,0.888566632,Good,Good
Italy,Castel San Giovanni,59,1,Good,34,Good,2,GO,59,Moderate,150.0681905,6.604724389,Good,Moderate
Spain,Bolanos De Calatrava,43,1,Good,15,Good,4,GO,43,Good,118.6494464,14.53964551,Good,Good
United Republic of Tanzania,Ikwiriri,29,1001.368367,Good,19,Good,0,GO,29,Good,75.02664036,12.46195145,Good,Good
Uganda,Bugembe,156,7,Good,14,Good,4,GO,156,Unhealthy,385.7781109,4.08850743,Good,Unhealthy
Latvia,Dobele,44,1,Good,34,Good,0,GO,44,Good,106.6078248,10.50662553,Good,Good
Indonesia,Porong,166,3,Good,11,Good,9,GO,166,Unhealthy,402.5211541,22.17220554,Good,Unhealthy
United States of America,Apache Junction,48,1,Good,21,Good,12,GO,48,Good,121.4390795,23.74174104,Good,Good
United States of America,Cherry Hill,52,1,Good,29,Good,9,GO,52,Moderate,134.9788832,14.44485198,Good,Moderate
Brazil,Bela Vista De Goias,24,0,Good,24,Good,0,,10,Good,34.86287305,1.36630886,Good,Good
Russian Federation,Krasnoye Selo,26,1,Good,26,Good,4,GO,19,Good,40.91344903,12.70585677,Good,Good
Japan,Hobara,44,1001.368367,Good,44,Good,0,GO,22,Good,70.94191518,-2.851741747,Good,Good
India,Etah,500,1,Good,50,Good,3,GO,437,Hazardous,1123.488229,10.3204509,Good,Hazardous
Japan,Onomichi,51,1,Good,46,Good,3,GO,51,Moderate,134.7703448,3.712195129,Good,Moderate
France,Laon,59,1001.368367,Good,28,Good,3,GO,59,Moderate,148.4132765,9.466476963,Good,Moderate
Iran (Islamic Republic of),Bukan,61,1,Good,47,Good,0,GO,61,Moderate,167.3783442,3.61350818,Good,Moderate
,West Bay,133,1,Good,30,Good,0,GO,133,Unhealthy for Sensitive Groups,333.7941724,-3.355780387,Good,Unhealthy for Sensitive Groups
Germany,Vechelde,39,0,Good,33,Good,1,GO,39,Good,117.5614724,4.413979256,Good,Good
Russian Federation,Vorotynsk,39,1,Good,,Good,0,GO,20,Good,47.03775877,-0.020953068,Good,Good
Brazil,Bom Jesus,24,0,Good,11,Good,0,GO,24,Good,58.48324878,-0.739040268,Good,Good
Russian Federation,Novosilikatnyy,48,1,Good,45,Good,1,GO,48,Good,124.5117016,12.13305407,Good,Good
India,Kariapatti,90,2,Good,19,Good,5,GO,90,Moderate,215.9992877,15.80979331,Good,Moderate
China,Yuanlin,149,3,Good,128,Unhealthy for Sensitive Groups,15,GO,149,Unhealthy for Sensitive Groups,373.5471645,33.60107703,Unhealthy for Sensitive Groups,Unhealthy for Sensitive Groups
Australia,Newcastle,48,0,Good,9,Good,14,,48,Good,123.159676,29.84686785,Good,Good
Russian Federation,Leningradskaya,37,1,Good,37,Good,1,GO,9,Good,7.337056896,-3.359073486,Good,Good
,Monster,55,1001.368367,Good,37,Good,4,GO,55,Moderate,145.3580329,15.6032778,Good,Moderate
Peru,Cajamarca,44,1,Good,3,Good,2,GO,44,Good,110.1487006,11.10744576,Good,Good
Switzerland,Solothurn,36,1,Good,23,Good,2,GO,36,Good,93.34159094,-2.313680276,Good,Good
Panama,Pacora,134,4,Good,11,Good,13,GO,134,Unhealthy for Sensitive Groups,325.7109539,32.12744478,Good,Unhealthy for Sensitive Groups
India,Hindupur,24,1,Good,24,Good,0,GO,21,Good,68.84538331,-5.509498144,Good,Good
Burkina Faso,Tenkodogo,54,1,Good,27,Good,0,GO,54,Moderate,144.4123982,7.135423486,Good,Moderate
Togo,Tsevie,90,2,Good,15,Good,2,GO,90,Moderate,230.0827449,6.488900669,Good,Moderate
Czechia,Ceska Trebova,74,1,Good,44,Good,1,GO,74,Moderate,196.6226298,-0.828335716,Good,Moderate
Turkey,Burhaniye,61,1,Good,39,Good,0,GO,61,Moderate,173.9061456,-7.128175435,Good,Moderate
Brazil,Juiz De Fora,78,2,Good,4,Good,8,GO,78,Moderate,202.0934886,15.98705768,Good,Moderate
Indonesia,Ngoro,121,2,Good,60,Moderate,1,GO,121,Unhealthy for Sensitive Groups,319.4663149,4.487709147,Moderate,Unhealthy for Sensitive Groups
Bangladesh,Phultala,158,4,Good,64,Moderate,4,GO,158,Unhealthy,395.550298,5.403349644,Moderate,Unhealthy
France,Bolbec,43,1,Good,32,Good,2,,43,Good,109.0409272,6.327987534,Good,Good
India,Lonar,154,1,Good,26,Good,3,GO,154,Unhealthy,372.907736,22.01776831,Good,Unhealthy
Colombia,Repelon,88,1001.368367,Good,16,Good,7,,88,Moderate,225.8850347,12.93273412,Good,Moderate
United States of America,Middleton,56,1,Good,34,Good,1,GO,56,Moderate,151.2873055,10.12671314,Good,Moderate
,Biloxi,27,0,Good,27,Good,2,,22,Good,49.68893947,7.644636704,Good,Good
United Kingdom of Great Britain and Northern Ireland,Heswall,33,1,Good,33,Good,4,GO,24,Good,65.95344199,17.6822599,Good,Good
United Kingdom of Great Britain and Northern Ireland,Aylesbury,34,1,Good,30,Good,1,GO,34,Good,86.998444,7.010546036,Good,Good
Russian Federation,Kukmor,54,1,Good,37,Good,0,,54,Moderate,135.0306797,7.494849979,Good,Moderate
Brazil,Iguai,15,0,Good,13,Good,0,,15,Good,37.8614557,2.64963696,Good,Good
Belgium,Oud Heverlee,45,1,Good,26,Good,4,GO,45,Good,103.5077174,10.95809418,Good,Good
United States of America,Arkadelphia,73,1,Good,26,Good,3,GO,73,Moderate,167.4613764,7.57800984,Good,Moderate
Brazil,Mongagua,82,2,Good,,Good,5,GO,82,Moderate,203.8674619,11.01265968,Good,Moderate
Italy,Bitonto,54,1,Good,53,Moderate,0,GO,54,Moderate,152.9699455,9.676638667,Moderate,Moderate
United States of America,Southglenn,76,2,Good,5,Good,14,GO,76,Moderate,192.6537943,30.67843356,Good,Moderate
Germany,Morfelden Walldorf,68,1,Good,38,Good,4,GO,68,Moderate,183.2932377,7.31869296,Good,Moderate
France,Auchel,31,0,Good,29,Good,1,GO,31,Good,98.98412608,7.778313522,Good,Good
United States of America,Mount Prospect,62,2,Good,24,Good,18,GO,62,Moderate,158.742537,35.53574219,Good,Moderate
Tunisia,Bajah,47,1,Good,47,Good,2,GO,34,Good,104.3506541,7.624066768,Good,Good
India,Harsud,193,1,Good,39,Good,1,GO,193,Unhealthy,478.894346,-5.56700374,Good,Unhealthy
Indonesia,Ngemplak,63,1,Good,35,Good,0,GO,63,Moderate,166.033938,-0.259334476,Good,Moderate
Germany,Hersbruck,43,1,Good,35,Good,2,,43,Good,115.810389,6.83612735,Good,Good
France,Vauvert,42,1,Good,32,Good,1,GO,42,Good,86.4721353,10.20698659,Good,Good
Malaysia,Sungai Petani,150,3,Good,23,Good,10,GO,150,Unhealthy,371.6802889,15.87179684,Good,Unhealthy
Germany,Hameln,37,1,Good,37,Good,1,GO,24,Good,61.51347866,4.632191987,Good,Good
United States of America,Bellaire,91,1,Good,18,Good,5,GO,91,Moderate,231.511548,11.41185225,Good,Moderate
United Kingdom of Great Britain and Northern Ireland,Doncaster,30,0,Good,30,Good,4,GO,26,Good,66.01407961,10.65172658,Good,Good
Poland,Limanowa,99,1,Good,32,Good,2,GO,99,Moderate,254.9832514,-0.712858621,Good,Moderate
Cameroon,Obala,86,2,Good,24,Good,0,GO,86,Moderate,212.5437953,1.051397987,Good,Moderate
Turkey,Kozluk,62,1,Good,43,Good,1,GO,62,Moderate,166.5863195,10.35785693,Good,Moderate
Romania,Bailesti,40,1,Good,,Good,1,GO,40,Good,80.12543241,0.313827416,Good,Good
France,Bourg La Reine,85,3,Good,16,Good,10,GO,85,Moderate,207.6500687,13.2135809,Good,Moderate
United Kingdom of Great Britain and Northern Ireland,Loughborough,36,1,Good,,Good,3,GO,16,Good,41.79253629,9.281169656,Good,Good
Indonesia,Sumedang,67,1,Good,,Good,0,GO,67,Moderate,168.7010879,-4.614782795,Good,Moderate
Nepal,Butwal,146,4,Good,20,Good,5,GO,146,Unhealthy for Sensitive Groups,362.6086344,9.651448445,Good,Unhealthy for Sensitive Groups
United States of America,Windsor,99,3,Good,20,Good,19,GO,99,Moderate,248.027549,41.07280041,Good,Moderate
Argentina,Yacuiba,12,0,Good,11,Good,0,GO,12,Good,49.98097633,-2.109122293,Good,Good
Portugal,Portalegre,24,1,Good,24,Good,2,GO,18,Good,54.06094019,4.516753393,Good,Good
Serbia,Pancevo,59,1,Good,56,Moderate,0,GO,59,Moderate,152.4121048,3.187722114,Moderate,Moderate
United States of America,Cranston,71,1,Good,44,Good,5,GO,71,Moderate,195.8321056,12.39023486,Good,Moderate
Netherlands,Vianen,34,0,Good,34,Good,1,GO,34,Good,105.0127688,1.308494627,Good,Good
Spain,Tafalla,38,1001.368367,Good,38,Good,0,GO,9,Good,25.51397845,3.699250272,Good,Good
France,Villeparisis,69,2,Good,29,Good,5,GO,69,Moderate,182.714494,6.645282247,Good,Moderate
United States of America,Lake Wales,48,1001.368367,Good,17,Good,11,GO,48,Good,108.1312305,22.75081247,Good,Good
India,Robertsganj,169,3,Good,66,Moderate,4,GO,169,Unhealthy,426.0847425,7.496156753,Moderate,Unhealthy
India,Mulbagal,83,2,Good,21,Good,5,GO,83,Moderate,229.6077578,3.569484752,Good,Moderate
Indonesia,Parung,171,4,Good,171,Unhealthy,2,GO,150,Unhealthy,366.672226,1.973264354,Unhealthy,Unhealthy
Togo,Niamtougou,56,1,Good,29,Good,0,GO,56,Moderate,147.9700129,3.955872973,Good,Moderate
Japan,Sendai,51,1,Good,51,Moderate,0,GO,38,Good,100.1877772,-5.055359633,Moderate,Moderate
France,Chaville,72,1,Good,43,Good,2,GO,72,Moderate,205.3604283,7.768950794,Good,Moderate
Germany,Coswig,67,1,Good,40,Good,1,GO,67,Moderate,197.42184,7.309110151,Good,Moderate
Guatemala,Petapa,61,1,Good,25,Good,1,GO,61,Moderate,147.311948,11.36187569,Good,Moderate
United States of America,Somerville,49,1,Good,,Good,2,GO,49,Good,125.9967163,3.619863686,Good,Good
France,Saint Pierre,51,1,Good,28,Good,0,GO,51,Moderate,156.047114,3.586823302,Good,Moderate
United Kingdom of Great Britain and Northern Ireland,Brighouse,41,1,Good,37,Good,1,GO,41,Good,113.366938,3.008925946,Good,Good
India,Doraha,467,1,Good,102,Unhealthy for Sensitive Groups,1,GO,400,Hazardous,1013.773623,9.881469425,Unhealthy for Sensitive Groups,Hazardous
Japan,Iizuka,45,1,Good,45,Good,0,GO,38,Good,108.5639879,2.135774546,Good,Good
United States of America,Keokuk,50,2,Good,33,Good,4,GO,50,Good,151.9664605,2.402065071,Good,Good
